population_id,population_kind,case_id,candidate_id,model,sequence_length,phase,mathematical_operation,implementation_kind,exact_endpoint_or_region,proof_unit_bound,legacy_observed_role,legacy_observed_verdict,legacy_flash_verdict,legacy_generalizable_verdict,legacy_evidence,legacy_evidence_only,claim_boundary,formation_local,formation_parameter_gradient,formation_effective_update,first_confirmed_bias_stage,formation_label_source
endpoint::deepseek8b:seq256:forward:88:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq256:forward:88:in_out_ptr1,deepseek8b,256,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_19,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=559937604bb222d223478f1251922250f3bbfb0399a27ec624e81ed438329659,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq256:forward:93:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq256:forward:93:in_out_ptr1,deepseek8b,256,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_20,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=f4da258d7572cf41ead6d3b15bdcec94578a3c1b934e4155be5cd0e75d071a1d,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq256:forward:9:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq256:forward:9:out_ptr0,deepseek8b,256,FORWARD,clone,TRITON,forward:graph0:clone_2,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=e73a65637a5680b154d0d3b3e72cd2f6a8c04cdd2b879d8defb1c72cdcae94c9,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:backward:1781:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:backward:1781:out_ptr0,deepseek8b,64,BACKWARD,sum,TRITON,backward:graph0:sum_400,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=cf3f7a2cd70a6dc790dc7d80a4ef327e942fb7728d6f56e976a7cbe9b36aa1f5,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:backward:1786:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:backward:1786:out_ptr0,deepseek8b,64,BACKWARD,sum,TRITON,backward:graph0:sum_402,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=4a12237a10258f217e47382ca198b68cd047801be31612f5b6aa7d93b46a3e0f,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:backward:1854:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:backward:1854:out_ptr0,deepseek8b,64,BACKWARD,sum,TRITON,backward:graph0:sum_424,true,COHERENT_F_B_BIAS,OBSERVED_T3_COHERENT_COMPLETE_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=fd5db244fe56c76895abd931d3cfb391e554e86dd8e24dbd7550eab00bc3afc6,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:backward:844:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:backward:844:output_0,deepseek8b,64,BACKWARD,mm,EXTERN,backward:graph0:mm_331,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=7dc8a707ad01b3024f6a6529bf969581af206a9ca8d83b1e5e2a13052b4b1bb5,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:0:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:0:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_CAUSAL_ENDPOINT_EFFECT,,,hypothesis_matrix.json; math_proof_row_sha256=401b00bfb815677f1257611007b1c932394e5318734a84d5120df5e31900b883,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:100:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:100:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_10,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=c356ab79eee38f79e16f9c806f1a9b5a2b59a13448dd665cc3e7b43fd23a54e5,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:101:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:101:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_56,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=147e5ceff120f912b61d0d6c477ba0429e5a8bc234bfde8db925ea406a79759c,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:106:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:106:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_23,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=646b0895d0619a2fe860a55473ba2bbd80a9849a147d46fa6883c42d4e9abf6f,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:10:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:10:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=f935d51af346bc99c9bf59f47df2ff163a1da47a5af1196ce4759382cacd8b88,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:111:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:111:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_24,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=6c900177e8f4663604e7f4fb944433b2036a6654c6bc0646bf5cfa199fe5a0a2,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:118:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:118:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_12,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=f1d550a6febb3c1d270e74bdeeff5a1665aa2cf9fa6770fa54d2d4eb06a5f066,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:119:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:119:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_66,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=c8f8a70cc8ebaa42b02b5b4c99415161b856380d14fe103dd312d86440d4eec7,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:11:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:11:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_6,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=802f4632a33edd8aa9400e00a75e01556b8fc7b1a242c9927d77420432e87f23,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:124:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:124:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_27,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=a2bc5b63f46698e606e0c1aea94e86dda4d384add9d43075b4081a21bab53002,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:129:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:129:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_28,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=2bcdf1982809fed1635613a7a1a21802e5dd4c1c177be5286267644d65e035f7,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:136:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:136:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_14,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=496d7e366708cee64a573d01291ff8805b07377d71ffa74199e7eb21df0058d7,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:137:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:137:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_76,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=0dc59661acd7dcf7f2aac46e4602407cc2dc5b037f6bee991970659f26f1613f,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:142:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:142:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_31,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=3470d7e49308810d0e4c79670f5ce0a4ea974b0e9ddbb399102f9b151cc0d691,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:147:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:147:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_32,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=502c7be7e18f0727c1b761d38764ff402fcdc7000c45edd15776b9b00cc0698c,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:151:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:151:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_34,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=0881a875fc0e8e6121c627589c0caa8d8d72e886b727bb935c629d20b2c8c6ba,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:151:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:151:in_out_ptr1,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_85,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=581e4f1cd8d1c4b76f492c9904e2513ca58b6c0be1ddf769a907fce723e0f289,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:154:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:154:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_16,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=b0af44e8de800a22f28da22eaaeb6126855f2ccd9143e17c37c7b9ffe60a284e,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:155:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:155:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_86,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=4128343472f7ede34bb2d93e446402f014e4018a7a2671c1dee2ed1ef2363102,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:159:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:159:output_0,deepseek8b,64,FORWARD,mm,EXTERN,forward:graph0:mm_59,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=e2e84d6276964a32259d6ceb0224f49ef796de0b5bed0e09a7d598c3caf5ad55,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:160:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:160:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_87,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=540d145659bfa1d663a30cfa74afd7c318a695b17c7195edc1427dc2743ea52f,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:160:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:160:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_35,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=5052429bbe9b8e857921ade21e2431fb989c522283c1ae8ec8618d0b54f0b9ac,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:161:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:161:output_0,deepseek8b,64,FORWARD,mm,EXTERN,forward:graph0:mm_60,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=2a43ef23a1ce3ceab5c6f0c48c248145e04803f9fb2626fb7332bec204b9bd6b,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:165:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:165:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_36,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=2be52d9afb9f06a2eb5e12d24bce1a9b43876aaa8ea2cba736ee4662e48e1729,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:166:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:166:output_0,deepseek8b,64,FORWARD,mm,EXTERN,forward:graph0:mm_63,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=feaaad65e3323c188f18929c43a5dd89856b51c7a016a951df42cfbe36a46300,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:167:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:167:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_37,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=1e34a315f04332a61d73f48e277d93979e9ee577d8754321dc71c9c7075be259,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:169:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:169:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_38,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=1ef7bfa8b81724dbe99397eae0faeb0300cb90c1eb211fe69f0a8f26080e54f2,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:16:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:16:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_3,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=c795a2dd66a850eed7d20aa30fde404065e1bacb0c73a23859782b9584226fab,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:172:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:172:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_18,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=2c1aa934e6cc13e3800f1902cc5900a31cd474ac6429c7d00339d1ddeb701ad0,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:173:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:173:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_96,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=9b51202d1d9f4fac8ce0fd5e9cc33bce11e15743bba2ab252ed5a4ef440841b8,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:178:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:178:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_39,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=e77331992415e7be2c8ee51f15e242a7cc2048cb7edb70c34d16f995d4f789dc,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:187:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:187:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_42,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=c181cb3f0bafce0ee5acf2c676c460faf14508250b525e0c8ce7cd9dd5aef7f9,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:189:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:189:out_ptr0,deepseek8b,64,FORWARD,clone,TRITON,forward:graph0:clone_42,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=34a3385d045bd64f4c84e3e2feb5abd8af6d89d91b0d04a87ad059e332a2da2c,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:190:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:190:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_20,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=d887f3c98ac10344799110784257fcbe3a5c09a275fe89686dd3df152c17ae13,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:191:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:191:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_106,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=7b9ab975264ed2209359f9560dcefee86a0c6f07589a86e7c9a12f1d06c01ffc,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:196:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:196:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_43,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=20623fa28fb40b9e76c3a7ab43d3fad7edc76e6d022ee8198b02686a1a163254,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:208:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:208:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_22,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=cbc2bb0d73828bfa9c84a62262e50df0f8e0595ef882d6a841fd99945a34dfe8,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:209:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:209:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_116,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=bcaf83a6a558e19f939c63152c2758f2a6b5d14a3d8e9ce3558e50f92b61efb5,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:211:output_0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:211:output_0,deepseek8b,64,FORWARD,bmm,EXTERN,forward:graph0:bmm_23,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=94310a1e29566e9354975a0c4bad749a51668583a1bc58354ab90b9c837a7c3b,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:212:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:212:out_ptr0,deepseek8b,64,FORWARD,clone,TRITON,forward:graph0:clone_49,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=6337fda709bf4feaa57d513a193ed69a99b3b5235e831af55461d44a2f6a5fec,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:214:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:214:in_out_ptr0,deepseek8b,64,FORWARD,add,TRITON,forward:graph0:add_117,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=1d44d7a7c9f43fb518ea5cb53c6691b2e0f52553a5476f7eedab5c16fd52c8e9,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:21:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq64:forward:21:in_out_ptr1,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_4,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=db6b91f2f73937e658c76dfa73f3e07ae5d5384ce3f70b33dd65ce92304772dc,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq64:forward:221:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq64:forward:221:in_out_ptr0,deepseek8b,64,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_49,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=cb23aecafe1b967d8166e63c6f4407d8cf6a025c40e755d64cc8311937c6f9c6,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
